Time,Concorde 1+2,Cassiopée,Caravelle 2,Saint-Exupéry,Ariane 1+2,Guillaumet 1+2
10:00,R for better science in less time <br><br> _Julia Stewart Lowndes_,NA,NA,NA,NA,NA
11:30,Enhancements to data tidying <br><br> _Hadley Wickham_,Mathematical Modeling with R: Embedding Computational Thinking into High School Math Classes in the United States <br><br> _Kenia Wiedemann_,A Generalized Framework for Parametric Regression Splines <br><br> _Georges MonetteJohn Fox_,Logging and Analyzing Events in Complex Shiny Apps <br><br> _Kamil Wais_,Application of WRSS in Water and Energy Analysis; An object oriented R package for large-scale water resources operation <br><br> _Rezgar Arabzadeh_,ClustBlock: a package for clustering datasets <br><br> _Fabien Llobell_
11:48,n() cool #dplyr things <br><br> _Romain Francois_,Teaching data science with puzzles <br><br> _Irene Steves_,Regularized estimation of the nominal response model <br><br> _Michela Battauz_,mwshiny: Connecting Shiny Across Multiple Windows <br><br> _Hannah De Los Santos_,An R Package for the Distributed Hydrological Model GEOtop <br><br> _Emanuele Cordano_,ordinalClust: an R package for analyzing ordinal data. <br><br> _Margot Selosse_
12:06,You don't need Spark for this - larger-than-RAM data manipulation with disk.frame <br><br> _Zhuo Jia Dai_,Teaching R and statistics to higher degree research students and industry professionals <br><br> _Alethea Rea_,merlin - mixed effects regression for linear and nonlinear models <br><br> _Alessandro Gasparini_,Shiny app deployment and integration into a custom website gallery <br><br> _Riccardo PorrecaRoland Schmid_,Big data analysis for power plant operational data for optimizing engineering design in R / Shiny <br><br> _Friedrich-Claus Grueber_,"funHDDC, a R package to cluster univariate and multivariate functional data <br><br> _Amandine Schmutz_"
12:24,Data frames for grouped data: the gdata.frame package <br><br> _Yves Croissant_,ghclass: an R package for managing classes with GitHub <br><br> _Colin Rundel_,Modern likelihood-frequentist inference with the likelihoodAsy package <br><br> _Ruggero Bellio_,Automated Surveys and Reports for Expert Elicitation with Shiny <br><br> _Machteld Varewyck_,Anomaly Detection in R <br><br> _Priyanga Dilini Talagala_,Using the package `simple features` (sf) for sensitivity analysis <br><br> _Maikol Solís_
12:42,git2rdata: storing dataframes in a plain text format suitable for version control <br><br> _Thierry Onkelinx_,Data Science in a Box <br><br> _Mine Cetinkaya-Rundel_,General-to-Specific (GETS) Modelling with User-Specified Estimators and Models <br><br> _Genaro Sucarrat_,NA,Collective and Point Anomaly Detection in R <br><br> _Daniel Grose_,Visualizing multivariate linear models in R <br><br> _Michael Friendly_
14:00,Golem : A Framework for Building Robust & Production Ready Shiny Apps <br><br> _Vincent Guyader_,Using AI and R to help improve the quality and health of your personalised food basket. <br><br> _Peter Jaksons_,Visualisation of open-ended interviews through qualitative coding and cognitive mapping <br><br> _Frédéric Vanwindekens_,Package flextable: a grammar to produce tabular reporting from R <br><br> _Quentin Fazilleau_,Navigating through the R packages for movement <br><br> _Rocio Joo_,Multi-data learning with M-ABC: extending your ABC's <br><br> _Marijke Van Moerbeke_
14:18,Art of the Feature Toggle: Patterns for maintaining and improving Shiny applications over time <br><br> _Kelly Obriant_,Variation of patient turnover on a 30-minutes basis for 3 years: analysis of routine data of a Swiss University Hospital <br><br> _Sarah N. Musy_,choicetools: a package for conjoint analysis and best-worst surveys <br><br> _Chris Chapman_,Connecting R/R Markdown and Microsoft Word using StatTag for Collaborative Reproducibility <br><br> _Leah Welty_,"Classes, methods and data analysis for trajectories <br><br> _Mohammad Mehdi Moradi_",Fast and Optimal Peak Detection in Large Genomic Data via the PeakSegDisk Package <br><br> _Toby Hocking_
14:36,Data for all: Empowering teams with scalable Shiny applications <br><br> _Alexandra TurcanRuan Pearce-Authers_,Bridging agent-based modelling and R with nlrx: simulating pedestrian's long-term exposure to air pollution <br><br> _Hyesop Shin_,Robust mediation analysis using the R package robmed <br><br> _Andreas Alfons_,"The ""Rmd first"" method: when projects start with the documentation <br><br> _Sébastien Rochette_",Modelling spatial flows with R <br><br> _Christine Thomas-Agnan_,PEREpigenomics: a shiny app to visualize Roadmap Epigenomics data <br><br> _Guillaume Devailly_
14:54,Best practices for building Shiny enterprise applications <br><br> _Filip Stachura_,Simulation of the physical movement for Machine Learning with R: Simulation of Robot gait Optimization Using GA <br><br> _Hae-Yoon Jung_,propro: Enhancing Discovered Process Models using Bayesian Inference and MCMC <br><br> _Gert Janssenswillen_,R gnumaker: easy Makefile construction for enhancing reproducible research <br><br> _Peter Baker_,R for Transport Planning <br><br> _Robin Lovelace_,clustDRM: an R package and Shiny app for modeling high- throughput dose-response data <br><br> _Vahid Nassiri_
16:00,A missing value tour in R <br><br> _Julie Josse_,NA,NA,NA,NA,NA
